#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_35_length_38691_cov_37.538819	2646	2988	+	IncX3_1	37-374/374	.=======/======	4/5	90.37	80.17	plasmidfinder	JN247852	IncX3_1__JN247852	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_35_length_38691_cov_37.538819	3635	4008	+	IncX1_1	1-374/374	===============	0/0	100.00	98.93	plasmidfinder	EU370913	IncX1_1__EU370913	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_42_length_31567_cov_11.439440	29427	29688	+	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_53_length_20056_cov_10.885995	8028	8670	+	IncFIB(S)_1	1-643/643	===============	0/0	100.00	99.84	plasmidfinder	FN432031	IncFIB(S)_1__FN432031	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_63_length_4378_cov_1718.814397	3255	3368	-	Col440I_1	1-114/114	===============	0/0	100.00	92.11	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_63_length_4378_cov_1718.814397	3990	4272	-	Col440II_1	2-281/282	========/======	1/3	99.29	83.04	plasmidfinder	CP023921.1	Col440II_1__CP023921.1	
SAL_AC6405AA_AS.result.fasta	SAL_AC6405AA_AS_NODE_65_length_2829_cov_3905.901925	467	580	+	Col440I_1	1-114/114	===============	0/0	100.00	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_113_length_455_cov_1.060976	346	448	-	Col440I_1	12-114/114	.==============	0/0	90.35	85.44	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_123_length_444_cov_1.094637	218	331	+	Col440I_1	1-114/114	===============	0/0	100.00	91.23	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
SAL_AC6406AA_AS.result.fasta	SAL_AC6406AA_AS_NODE_37_length_38567_cov_27.799532	980	1353	+	IncX1_1	1-374/374	===============	0/0	100.00	98.93	plasmidfinder	EU370913	IncX1_1__EU370913	
