SISTR1_serovar,start,end
Enteritidis 10119,2010,2012
Enteritidis 1054,2012,2012
Enteritidis 12,2019,2019
Enteritidis 14293,2016,2016
Enteritidis 147599,2014,2014
Enteritidis 147600,2014,2014
Enteritidis 214281,2019,2019
Enteritidis 214284,2019,2019
Enteritidis 224351,2019,2019
Enteritidis 355940,2022,2022
Enteritidis 397,2021,2021
Enteritidis 5389,2023,2023
Enteritidis 757,2011,2012
Enteritidis 758,2011,2016
Enteritidis 760,2009,2023
Enteritidis 766,2009,2013
Enteritidis 87,2008,2008
Infantis 10642,2015,2016
Infantis 215390,2019,2019
Infantis 228389,2019,2019
Infantis 2398,2009,2021
Infantis 326950,2020,2022
Infantis 327110,2022,2022
Infantis 343,2016,2023
Infantis 36,2022,2022
Infantis 422,2021,2021
Infantis 775,2012,2023
Paratyphi B 214280,2019,2019
Paratyphi B 214282,2019,2019
Paratyphi B 214283,2019,2019
Paratyphi B 277451,1983,1986
Paratyphi B 331042,1983,2021
Paratyphi B 340107,1984,1984
Paratyphi B 340817,1986,1986
Paratyphi B 340818,1983,1983
Paratyphi B 340827,1985,1985
Paratyphi B 340842,1985,1985
Paratyphi B 340860,1983,1983
Paratyphi B 340863,1983,1983
Paratyphi B 340870,1984,1984
Paratyphi B 355918,2021,2021
Sandiego 248323,2020,2022
Sandiego 302267,2019,2019
Sandiego 302775,2020,2020
Sandiego 355858,2021,2021
Sandiego 355906,2021,2021
Typhimurium 103172,2015,2022
Typhimurium 12430,2019,2021
Typhimurium 147558,2014,2014
Typhimurium 147596,2013,2013
Typhimurium 14886,2004,2004
Typhimurium 158,2021,2021
Typhimurium 17777,1945,1945
Typhimurium 181840,2016,2017
Typhimurium 2,2013,2021
Typhimurium 215358,2019,2019
Typhimurium 215403,2019,2019
Typhimurium 221474,2019,2019
Typhimurium 235790,2015,2022
Typhimurium 269,2021,2022
Typhimurium 305,2006,2019
Typhimurium 323716,2021,2021
Typhimurium 35737,2015,2020
Typhimurium 373,2018,2021
Typhimurium 4340,2023,2023
Typhimurium 464,2020,2020
Typhimurium 74597,2019,2019
Typhimurium 75360,2013,2013
Typhimurium 777,2013,2022
